"artist","song","earliest","highestRank","year"
"Travis Scott","Astrothunder",2018-08-18,"
48
",2018
"Travis Scott","Beibs In The Trap",2017-01-21,"
90
",2017
"Travis Scott","Butterfly Effect",2017-06-17,"
50
",2017
"Travis Scott","Can't Say",2018-08-18,"
38
",2018
"Travis Scott","Carousel",2018-08-18,"
24
",2018
"Travis Scott","Coffee Bean",2018-08-18,"
68
",2018
"Travis Scott","Goosebumps",2017-01-14,"
32
",2017
"Travis Scott","Houstonfornication",2018-08-18,"
53
",2018
"Travis Scott","NC-17",2018-08-18,"
41
",2018
"Travis Scott","No Bystanders",2018-08-18,"
31
",2018
"Travis Scott","R.I.P Screw",2018-08-18,"
26
",2018
"Travis Scott","Sicko Mode",2018-08-18,"
1
",2018
"Travis Scott","Skeletons",2018-08-18,"
47
",2018
"Travis Scott","Stargazing",2018-08-18,"
27
",2018
"Travis Scott","Stop Trying To Be God",2018-08-18,"
27
",2018
"Travis Scott","Wake Up",2018-08-18,"
30
",2018
"Travis Scott","Who? What!",2018-08-18,"
43
",2018
"Travis Scott","Yosemite",2018-08-18,"
100
",2018
"Travis Scott Featuring Lil Uzi Vert & Kanye West","Watch",2018-05-19,"
16
",2018
"Trey Songz","Nobody Else But You",2017-06-24,"
92
",2017
"Trippie Redd","Love Scars 3",2018-11-24,"
73
",2018
"Trippie Redd","Taking A Walk",2018-08-25,"
46
",2018
"Trippie Redd","Topanga",2018-11-10,"
52
",2018
"Trippie Redd","Toxic Waste",2018-11-24,"
98
",2018
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle",2018-11-24,"
55
",2018
"Trippie Redd Featuring Kodie Shane","Negative Energy",2018-11-24,"
89
",2018
"Trippie Redd Featuring Travis Scott","Dark Knight Dummo",2017-12-30,"
100
",2017
"Troye Sivan","My My My!",2018-01-27,"
80
",2018
"twenty one pilots","Heathens",2017-01-07,"
12
",2017
"twenty one pilots","Jumpsuit",2018-07-21,"
50
",2018
"twenty one pilots","My Blood",2018-10-20,"
81
",2018
"twenty one pilots","Nico And The Niners",2018-07-28,"
79
",2018
"Tyga & Nicki Minaj","Dip",2018-11-10,"
63
",2018
"Tyga Featuring Offset","Taste",2018-06-09,"
10
",2018
"Tyler, The Creator","OKRA",2018-04-14,"
89
",2018
"Tyler, The Creator","Who Dat Boy",2017-07-22,"
87
",2017
"Ugly God","Water",2017-01-21,"
100
",2017
"Wale Featuring Lil Wayne","Running Back",2017-02-11,"
100
",2017
"WALK THE MOON","One Foot",2018-01-13,"
65
",2018
"Walker Hayes","You Broke Up With Me",2017-11-04,"
 83
",2017
"Weezer","Africa",2018-06-16,"
51
",2018
"Wham!","Last Christmas",2017-01-07,"
25
",2017
"Wham! Featuring George Michael","Careless Whisper",2017-01-14,"
33
",2017
"Wisin Featuring Ozuna","Escapate Conmigo",2017-07-01,"
63
",2017
"Wiz Khalifa Featuring Lil Skies","Fr Fr",2018-07-28,"
73
",2018
"Wiz Khalifa Featuring Swae Lee","Hopeless Romantic",2018-07-28,"
72
",2018
"Wiz Khalifa Featuring Ty Dolla $ign","Something New",2017-09-02,"
92
",2017
"X Ambassadors","Unsteady",2017-01-07,"
39
",2017
"XXXTENTACION","BAD!",2018-11-24,"
16
",2018
"XXXTENTACION","Carry On",2017-09-16,"
95
",2017
"XXXTENTACION","Changes",2018-03-17,"
 66
",2018
"XXXTENTACION","Depression & Obsession",2017-09-16,"
91
",2017
"XXXTENTACION","Difference (Interlude)",2018-12-22,"
84
",2018
"XXXTENTACION","Everybody Dies In Their Nightmares",2017-09-16,"
42
",2017
"XXXTENTACION","Going Down!",2018-03-31,"
95
",2018
"XXXTENTACION","Guardian Angel",2018-12-22,"
48
",2018
"XXXTENTACION","Hope",2018-06-30,"
70
",2018
"XXXTENTACION","I Don't Let Go",2018-12-22,"
51
",2018
"XXXTENTACION","Jocelyn Flores",2017-09-16,"
19
",2017
"XXXTENTACION","Look At Me!",2017-02-25,"
34
",2017
"XXXTENTACION","Moonlight",2018-03-31,"
13
",2018
"XXXTENTACION","Numb",2018-03-31,"
80
",2018
"XXXTENTACION","Revenge",2017-09-16,"
77
",2017
"XXXTENTACION","Sad!",2018-03-17,"
1
",2018
"XXXTENTACION","Sauce!",2019-02-09,"
89
",2019
"XXXTENTACION","Save Me",2017-09-16,"
94
",2017
"XXXTENTACION","Staring At The Sky",2018-12-22,"
68
",2018
"XXXTENTACION","The Remedy For A Broken Heart (Why Am I So In Love)",2018-03-31,"
 55
",2018
"XXXTENTACION","Train Food",2018-12-22,"
64
",2018
"XXXTENTACION","What Are You So Afraid Of",2018-12-22,"
65
",2018
"XXXTENTACION","whoa (mind in awe)",2018-12-22,"
37
",2018
"XXXTENTACION Featuring Joey Bada$$","Infinity (888)",2018-03-31,"
83
",2018
"XXXTENTACION Featuring Kanye West & Travis Barker","One Minute",2018-12-22,"
62
",2018
"XXXTENTACION Featuring Trippie Redd","F**k Love",2017-09-16,"
 49
",2017
"XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee","Arms Around You",2018-11-10,"
28
",2018
"YBN Nahmir","Rubbin Off The Paint",2017-11-25,"
46
",2017
"Yella Beezy","That's On Me",2018-08-11,"
56
",2018
"YFN Lucci Featuring Migos & Trouble","Key To The Streets",2017-01-21,"
97
",2017
"YFN Lucci Featuring PnB Rock","Everyday We Lit",2017-04-29,"
33
",2017
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj","Big Bank",2018-06-09,"
16
",2018
"YG Featuring A$AP Rocky","Handgun",2018-08-11,"
98
",2018
"YK Osiris","Worth It",2019-03-02,"
55
",2019
"YNW Melly","Murder On My Mind",2019-02-02,"
14
",2019
"YNW Melly Featuring Kanye West","Mixed Personalities",2019-02-02,"
42
",2019
"Yo Gotti","Juice",2017-12-23,"
100
",2017
"Yo Gotti Featuring Lil Baby","Put A Date On It",2019-02-09,"
46
",2019
"Yo Gotti Featuring Nicki Minaj","Rake It Up",2017-07-22,"
10
",2017
"Young M.A","OOOUUU",2017-01-07,"
19
",2017
"Young Thug And Travis Scott Featuring Quavo","Pick Up The Phone",2017-01-07,"
65
",2017
"Young Thug Featuring Future","Relationship",2017-07-08,"
65
",2017
"Young Thug Featuring Gunna & Lil Baby","Chanel (Go Get It)",2018-09-01,"
78
",2018
"Young Thug Featuring Nicki Minaj","Anybody",2018-04-28,"
89
",2018
"YoungBoy Never Broke Again","Diamond Teeth Samurai",2018-04-21,"
59
",2018
"YoungBoy Never Broke Again","No Smoke",2017-12-09,"
61
",2017
"YoungBoy Never Broke Again","Outside Today",2018-01-27,"
31
",2018
"YoungBoy Never Broke Again","Overdose",2018-05-12,"
42
",2018
"YoungBoy Never Broke Again","Preach",2018-05-19,"
98
",2018
"YoungBoy Never Broke Again","Untouchable",2017-09-02,"
95
",2017
"YoungBoy Never Broke Again","Valuable Pain",2019-01-19,"
87
",2019
"YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo","I Am Who They Say I Am",2018-09-08,"
69
",2018
"Zac Brown Band","My Old Man",2017-02-25,"
68
",2017
"Zac Efron & Zendaya","Rewrite The Stars",2018-01-13,"
100
",2018
"Zara Larsson","Ruin My Life",2019-01-12,"
76
",2019
"Zay Hilfigerrr & Zayion McCall","Juju On That Beat (TZ Anthem)",2017-01-07,"
11
",2017
"Zayn","Let Me",2018-04-28,"
73
",2018
"Zayn / Taylor Swift","I Don't Wanna Live Forever (Fifty Shades Darker)",2017-01-07,"
12
",2017
"Zayn Featuring PARTYNEXTDOOR","Still Got Time",2017-04-15,"
66
",2017
"Zayn Featuring Sia","Dusk Till Dawn",2017-09-30,"
 72
",2017
"Zedd & Alessia Cara","Stay",2017-03-18,"
 23
",2017
"Zedd & Elley Duhe","Happy Now",2018-09-08,"
90
",2018
"Zedd & Katy Perry","365",2019-03-02,"
86
",2019
"Zedd & Liam Payne","Get Low",2017-07-29,"
91
",2017
"Zedd, Maren Morris & Grey","The Middle",2018-02-10,"
10
",2018
